Data1,Data2,Output
0.19,-0.30,1
0.45,-0.70,0
0.95,0.09,0
-0.32,-0.90,0
-0.44,-0.34,1
-0.10,-0.32,1
0.12,0.87,0
0.15,-0.91,0
0.34,-1.09,0
-0.95,0.18,0
-0.10,0.45,1
-0.38,0.91,0
0.33,0.82,0
0.14,0.41,1
-0.26,0.46,1
0.23,0.38,1
-1.04,-0.43,0
-0.62,0.66,0
-0.42,-0.06,1
-0.92,0.46,0
0.83,-0.59,0
-0.97,-0.02,0
-0.12,-0.45,1
-0.24,-0.90,0
-0.29,1.05,0
0.57,0.87,0
-0.75,-0.87,0
-0.40,-0.16,1
-0.48,-0.05,1
0.23,0.27,1
-0.32,-0.13,1
0.88,-0.07,0
0.55,0.15,1
0.38,-0.33,1
0.10,-0.83,0
0.02,0.43,1
0.52,0.81,0
-0.71,-0.53,0
0.94,0.51,0
-0.49,-0.89,0
-0.94,-0.40,0
-0.81,0.48,0
-0.43,0.14,1
0.13,0.42,1
-0.92,-0.32,0
-0.06,0.93,0
0.38,0.32,1
0.20,-0.25,1
-0.85,-0.51,0
0.19,0.43,1
-1.05,-0.07,0
-0.77,-0.59,0
0.29,0.50,1
0.52,0.69,0
-0.29,0.62,1
-0.41,0.81,0
0.02,0.93,0
-0.23,-0.32,1
0.02,0.47,1
-0.40,0.93,0
0.06,-0.19,1
-0.16,0.31,1
-0.01,-1.21,0
0.65,-0.77,0
0.59,0.61,0
0.90,0.64,0
-0.93,-0.60,0
-0.32,-0.04,1
-0.17,0.39,1
-0.02,-0.46,1
-0.35,0.31,1
-0.16,0.30,1
-0.40,0.29,1
-0.21,0.20,1
-0.16,-1.05,0
0.78,-0.54,0
-0.33,0.32,1
0.79,-0.85,0
0.60,0.83,0
-0.10,0.45,1
0.14,-0.23,1
-0.25,-0.23,1
0.18,-0.33,1
0.47,0.70,0
0.16,-0.35,1
0.27,0.96,0
0.25,0.06,1
-0.17,0.18,1
0.44,0.15,1
0.64,0.81,0
-0.42,-0.89,0
0.67,-0.95,0
0.88,-0.68,0
0.13,-0.51,1
-0.37,-0.56,1
-0.39,-0.08,1
0.82,0.16,0
0.38,-0.02,1
-0.39,0.33,1
0.12,0.99,0
0.99,0.45,0
0.45,0.28,1
0.31,0.39,1
-0.48,-0.84,0
0.89,0.40,0
-0.32,-0.58,1
-0.85,0.26,0
0.57,-0.63,0
-0.17,0.50,1
0.97,0.34,0
0.12,0.29,1
0.30,0.28,1
-0.28,-0.26,1
-1.00,0.18,0
-0.73,0.51,0
-0.28,-0.08,1
0.15,0.31,1
0.96,-0.61,0
-0.37,-0.39,1
-0.25,1.03,0
-0.50,-0.85,0
-0.83,-0.68,0
0.28,-0.24,1
0.58,1.00,0
-0.26,0.33,1
0.47,0.86,0
0.03,-0.44,1
-0.02,1.12,0
0.93,-0.17,0
-0.07,-1.00,0
-0.09,0.41,1
0.20,-0.32,1
-0.37,0.27,1
-0.13,1.01,0
-0.34,1.09,0
-0.75,-0.66,0
0.87,0.31,0
0.59,-0.65,0
-0.71,-0.74,0
-0.81,0.24,0
0.08,0.28,1
-0.27,-0.29,1
-0.22,0.06,1
-0.33,0.06,1
-0.99,0.33,0
0.47,0.32,1
0.40,-0.18,1
-0.19,-0.24,1
0.65,-0.64,0
-0.61,0.82,0
0.21,0.27,1
-0.48,0.95,0
-0.30,-0.39,1
0.40,0.16,1
-0.68,-0.76,0
-0.40,0.11,1
-0.70,0.55,0
-0.63,0.71,0
0.88,-0.36,0
-0.39,0.06,1
-0.31,-0.26,1
-0.14,0.45,1
-0.12,-0.49,1
-0.27,-0.07,1
-0.43,0.19,1
-0.22,-0.27,1
-0.30,-0.26,1
-0.31,-0.94,0
0.23,0.52,1
-0.16,-0.84,0
0.99,-0.48,0
-0.34,0.13,1
-0.09,0.37,1
0.60,0.97,0
0.42,0.91,0
0.79,0.45,0
-0.06,-0.21,1
-0.85,-0.55,0
0.11,-0.51,1
-0.37,0.29,1
-0.18,-0.31,1
-0.35,-0.83,0
0.35,-1.19,0
0.66,-0.65,0
0.47,-0.89,0
-1.11,-0.08,0
-0.29,0.43,1
-0.08,0.29,1
-0.35,-0.81,0
-0.27,1.03,0
-0.18,-0.39,1
-0.81,0.72,0
-0.82,-0.42,0
0.08,0.32,1
0.26,-0.33,1
-0.08,0.96,0
0.25,-0.41,1
-0.26,-0.45,1
-0.06,1.22,0
-1.04,0.08,0
0.32,-0.27,1
-0.19,-1.01,0
-1.01,0.26,0
0.69,0.69,0
0.79,0.76,0
0.38,-0.04,1
-0.34,-1.08,0
-0.31,-0.14,1
-0.56,-0.97,0
0.92,-0.44,0
0.20,-0.27,1
0.57,-0.97,0
0.31,-0.95,0
-0.38,0.29,1
0.58,0.52,0
0.59,-0.71,0
-0.19,-0.30,1
0.41,0.01,1
-0.44,0.77,0
0.39,-0.19,1
0.15,-1.10,0
0.84,0.58,0
-0.04,0.35,1
0.84,0.48,0
-0.58,-0.71,0
-0.29,-0.10,1
0.37,1.03,0
0.11,0.47,1
-0.44,0.28,1
-0.36,0.33,1
-0.50,-0.76,0
0.02,-0.43,1
-0.47,-1.15,0
0.07,-0.28,1
-0.30,0.24,1
-0.85,0.46,0
-0.10,-0.42,1
-0.05,0.39,1
-0.64,-0.59,0
0.13,-0.35,1
-0.20,0.32,1
0.23,1.21,0
0.21,0.37,1
-0.56,-0.20,1
0.42,0.96,0
0.12,0.94,0
0.82,-0.45,0
0.28,0.16,1
-1.04,0.41,0
0.92,-0.05,0
0.03,-0.48,1
0.14,0.37,1
0.36,0.87,0
0.10,0.24,1
0.96,-0.39,0
0.87,0.53,0
1.09,-0.35,0
-0.01,-0.52,1
-0.04,-0.33,1
0.01,0.12,1
0.36,-0.01,1
-0.85,0.48,0
0.03,1.09,0
0.25,0.01,1
0.17,1.00,0
0.58,-0.80,0
-0.04,0.39,1
-0.43,0.77,0
0.66,-0.73,0
-0.83,0.65,0
-0.65,-0.66,0
0.99,0.13,0
-0.95,0.07,0
0.47,-0.01,1
0.03,0.44,1
-0.43,0.07,1
0.84,-0.50,0
0.46,0.13,1
-0.15,0.41,1
-0.58,0.85,0
0.24,0.00,1
0.96,-0.60,0
-0.17,0.21,1
0.56,0.79,0
-0.15,-0.92,0
-0.07,-1.06,0
-0.50,-0.24,1
0.21,-0.19,1
-0.87,-0.27,0
0.96,-0.30,0
-0.85,-0.50,0
-1.10,0.39,0
-0.26,-0.94,0
-0.31,-0.31,1
0.15,0.37,1
0.28,0.03,1
0.41,0.79,0
0.82,-0.76,0
0.20,0.15,1
0.88,-0.22,0
0.41,-0.22,1
-0.70,-0.51,0
-0.99,0.44,0
0.17,-0.43,1
1.01,-0.35,0
-0.31,0.01,1
0.38,-0.34,1
0.44,0.28,1
0.37,-0.17,1
-0.19,-0.41,1
0.40,0.18,1
0.02,0.99,0
0.15,-0.43,1
-0.98,0.30,0
-1.01,0.37,0
-0.71,-0.45,0
-0.37,0.18,1
-1.11,0.34,0
-0.04,-0.50,1
-0.02,0.52,1
0.38,-0.97,0
0.56,-0.41,1
0.98,0.71,0
-0.43,-0.95,0
0.31,0.00,1
-0.44,-0.87,0
-0.65,-0.82,0
0.59,0.91,0
-0.24,0.16,1
0.33,0.13,1
0.50,-0.75,0
0.01,0.91,0
0.45,-0.77,0
0.55,-1.04,0
0.85,0.65,0
-0.78,-0.44,0
0.77,-0.38,0
0.06,-0.89,0
0.02,0.32,1
0.70,-0.65,0
0.32,0.16,1
-0.39,0.36,1
-0.56,-0.74,0
-0.94,-0.13,0
-0.42,-0.33,1
-0.41,-0.09,1
0.33,0.76,0
-0.03,0.52,1
-0.50,-0.15,1
-0.86,-0.06,0
0.15,0.43,1
-0.06,-0.31,1
0.26,-0.17,1
0.11,-0.94,0
-0.31,0.14,1
-0.24,-1.02,0
1.09,-0.09,0
-0.76,0.73,0
-0.48,0.39,1
0.16,-0.49,1
-0.79,0.59,0
0.35,0.31,1
0.03,1.06,0
-0.11,-1.00,0
0.86,0.65,0
-0.04,1.05,0
1.13,0.17,0
0.27,0.27,1
0.06,0.33,1
0.58,-0.63,0
0.44,0.83,0
-0.69,0.80,0
-0.49,0.10,1
-0.36,0.23,1
-0.74,0.70,0
-0.61,0.91,0
-0.80,-0.87,0
-0.45,-0.36,1
-0.08,-0.19,1
0.16,1.04,0
0.07,0.42,1
0.52,0.83,0
-0.41,0.34,1
0.09,0.39,1
-0.24,0.37,1
-0.26,-0.85,0
-0.17,-0.97,0
-1.05,0.06,0
0.33,0.22,1
-0.10,-0.89,0
0.86,0.49,0
-0.06,0.48,1
-0.34,0.23,1
-0.40,-0.15,1
1.16,0.15,0
0.28,-1.04,0
0.21,-0.32,1
0.25,0.01,1
1.08,0.17,0
0.39,0.98,0
0.14,-0.31,1
0.25,0.21,1
0.89,0.52,0
0.18,0.45,1
0.24,-0.44,1
0.52,-0.07,1
-0.48,-0.02,1
0.13,0.00,1
-0.27,-0.23,1
-0.01,-0.56,1
-0.45,-0.20,1
-0.19,1.06,0
-0.84,-0.80,0
-0.38,0.08,1
1.08,-0.06,0
-0.39,-0.06,1
0.14,1.01,0
-0.75,-0.51,0
0.30,-0.35,1
-0.19,1.01,0
0.84,-0.06,0
-0.20,0.27,1
-0.83,0.58,0
1.01,-0.41,0
-0.26,0.31,1
0.32,-0.15,1
-0.22,-0.32,1
-0.50,-0.04,1
0.35,0.33,1
-0.26,0.93,0
0.22,0.92,0
0.00,-0.93,0
0.20,-0.39,1
0.15,-0.46,1
-0.36,-0.35,1
0.19,-0.93,0
-0.70,-0.66,0
-0.99,0.16,0
-0.64,-0.62,0
0.02,-0.48,1
0.42,-0.00,1
0.01,1.12,0
0.08,-0.49,1
0.52,1.10,0
-0.40,0.36,1
-1.09,0.01,0
-0.92,-0.49,0
0.75,-0.90,0
-0.84,-0.41,0
-0.01,0.44,1
-0.84,-0.00,0
0.08,0.34,1
0.43,0.68,0
0.88,-0.23,0
-0.06,0.36,1
0.31,-0.28,1
0.84,0.30,0
-0.95,0.29,0
-0.80,0.23,0
0.96,-0.07,0
-0.51,-0.80,0
0.39,-0.28,1
0.84,-0.47,0
-0.10,0.89,0
0.67,0.56,0
0.42,0.18,1
-0.27,-0.65,0
0.20,0.36,1
0.07,-0.40,1
0.56,0.86,0
-0.34,0.03,1
0.22,-0.37,1
-0.30,-0.38,1
0.41,-0.06,1
-0.05,1.08,0
-0.95,0.27,0
-0.89,0.66,0
-0.44,0.03,1
-0.21,-0.89,0
0.46,1.04,0
0.87,0.25,0
-0.11,-0.57,1
0.13,0.26,1
-0.39,0.92,0
0.65,0.72,0
-0.15,-0.23,1
-0.05,-0.26,1
0.84,0.51,0
0.88,-0.70,0
0.30,0.83,0
-0.02,0.16,1
-0.29,-0.34,1
-0.03,-0.53,1
-0.16,0.50,1
1.10,0.06,0
0.22,0.31,1
-0.97,-0.06,0
-0.36,-0.02,1
0.28,-0.03,1
-0.16,0.26,1
0.31,0.90,0
-0.41,0.07,1
-0.02,0.49,1
0.37,-0.07,1
-1.01,-0.20,0
0.86,-0.76,0
-0.82,-0.73,0
-0.36,-0.19,1
0.61,0.85,0
0.81,0.62,0
-0.31,-0.79,0
0.47,-0.97,0
-0.26,1.00,0
0.29,-0.99,0
0.40,0.03,1
0.36,-0.72,0
0.61,-0.98,0
0.19,-0.46,1
0.25,0.30,1
-0.89,-0.16,0
0.39,0.29,1
0.34,-0.08,1
-0.65,-0.09,1
0.26,-0.32,1
-0.71,0.85,0
0.39,0.13,1
0.34,-0.81,0
-0.33,-0.87,0
-0.88,-0.54,0
-0.14,0.50,1
-0.28,-0.36,1
0.01,0.47,1
-0.93,-0.15,0
0.53,-1.01,0
0.74,-0.71,0
0.90,-0.37,0
-0.41,-0.09,1
-0.48,0.14,1
1.03,-0.28,0
-0.55,0.77,0
0.43,0.32,1
0.83,-0.64,0
-0.66,-0.62,0
-0.85,0.57,0
0.52,0.13,1
-0.04,-0.45,1
-0.76,0.65,0
0.64,-0.79,0
-0.24,-0.69,0
0.20,-0.45,1
0.49,-0.20,1
0.05,-1.19,0
0.11,0.42,1
0.05,0.33,1
0.19,0.30,1
0.10,0.24,1
-0.40,-0.13,1
-0.46,-0.20,1
-0.82,-0.57,0
-0.41,0.06,1
0.40,-0.18,1
0.50,0.03,1
-0.79,-0.69,0
-0.40,-0.76,0
1.09,-0.28,0
-0.26,-0.21,1
0.73,-0.95,0
-0.19,-0.24,1
0.02,1.02,0
-0.27,0.06,1
0.15,-0.30,1
0.53,0.23,1
-0.30,-0.26,1
-0.56,0.87,0
-0.29,0.13,1
0.20,-0.46,1
0.35,-0.02,1
-1.02,0.24,0
0.35,-0.06,1
-0.94,-0.55,0
-0.38,-0.87,0
-0.27,0.05,1
0.43,0.67,0
-0.15,0.22,1
-0.54,-0.67,0
-0.32,-0.05,1
-0.87,0.63,0
0.31,-1.03,0
-0.48,0.02,1
0.04,0.31,1
-0.45,-0.80,0
0.71,-0.65,0
0.79,-0.68,0
-0.91,0.07,0
0.03,-0.26,1
0.27,0.43,1
0.01,-0.44,1
-0.07,-0.13,1
0.14,-0.34,1
-0.78,0.88,0
0.20,0.94,0
0.10,0.41,1
-0.00,-0.45,1
-0.77,-0.60,0
-0.16,0.35,1
-0.25,0.91,0
-0.07,0.49,1
-0.10,-1.04,0
-0.80,0.64,0
0.38,0.08,1
-0.29,-0.11,1
-0.05,0.54,1
0.31,0.87,0
-0.16,0.37,1
-0.26,0.26,1
0.67,-0.86,0
0.80,-0.17,0
-0.02,0.50,1
-0.33,-0.85,0
0.32,-0.97,0
0.29,-0.04,1
-0.36,-0.84,0
-1.07,0.18,0
-0.31,0.28,1
0.73,0.61,0
-0.37,0.10,1
0.11,0.39,1
-0.99,0.15,0
-0.21,-0.96,0
-0.24,0.93,0
0.74,-0.64,0
-0.74,-0.65,0
0.25,-0.23,1
-0.29,0.02,1
0.38,-0.80,0
-0.01,0.99,0
0.80,0.56,0
-0.59,-0.79,0
0.01,-0.41,1
0.65,0.89,0
0.44,0.81,0
0.60,-0.54,0
-0.74,0.52,0
0.25,0.93,0
0.04,-0.18,1
0.32,0.33,1
0.04,0.29,1
0.10,0.92,0
0.34,-0.25,1
-0.34,0.23,1
-0.41,0.05,1
0.15,-0.38,1
-0.76,0.25,0
-0.92,-0.32,0
-0.89,0.40,0
-0.18,-1.15,0
-0.34,0.97,0
-0.37,0.46,1
-0.57,0.84,0
-0.27,0.25,1
-0.51,0.01,1
-0.00,0.33,1
0.70,0.70,0
-0.08,0.41,1
-0.20,-0.33,1
0.29,0.32,1
0.23,0.96,0
-0.85,-0.59,0
0.38,-0.02,1
0.86,-0.13,0
0.00,0.51,1
0.07,0.43,1
-0.10,-0.52,1
-0.40,0.34,1
0.47,0.08,1
-0.15,-0.48,1
-0.93,-0.62,0
-0.12,0.44,1
1.04,0.13,0
-0.54,0.07,1
0.59,-0.87,0
0.28,0.29,1
-1.05,-0.21,0
0.43,-0.61,0
0.10,-0.30,1
0.37,0.85,0
-0.19,-0.18,1
-0.02,0.38,1
0.31,-0.26,1
0.18,0.41,1
-0.90,-0.24,0
-0.34,-0.08,1
-0.06,-0.44,1
-0.51,-0.05,1
-0.23,0.33,1
0.19,-0.40,1
-0.13,-0.29,1
-0.21,0.86,0
-0.72,0.42,0
-0.31,0.36,1
-0.15,-0.87,0
0.86,0.01,0
-0.86,0.31,0
-0.96,0.37,0
0.76,0.76,0
-0.71,0.82,0
0.45,0.24,1
-0.58,0.61,0
1.04,-0.36,0
0.28,0.09,1
-0.99,-0.55,0
0.99,-0.11,0
-0.64,0.72,0
-0.78,0.47,0
-1.07,0.40,0
-0.51,0.98,0
-0.43,-0.22,1
0.48,-0.87,0
0.31,-0.30,1
0.13,-0.16,1
0.70,0.66,0
0.99,0.27,0
-0.36,-0.18,1
-0.26,-0.31,1
0.24,1.05,0
0.04,-0.39,1
-0.21,0.46,1
-0.06,-0.38,1
-0.44,-0.18,1
0.24,0.93,0
-0.21,0.45,1
0.27,-0.35,1
-0.34,1.04,0
-0.49,0.91,0
0.15,0.30,1
-0.16,0.21,1
0.09,0.48,1
0.13,-0.43,1
-0.17,-0.34,1
-0.32,-0.93,0
-1.09,0.57,0
0.07,0.24,1
0.95,0.03,0
-1.07,-0.29,0
0.18,0.37,1
0.30,-0.12,1
-0.10,0.39,1
-0.46,-0.39,1
0.37,-0.14,1
1.06,-0.38,0
-0.14,-0.37,1
0.34,-0.26,1
-0.12,0.20,1
-0.04,0.33,1
0.13,-0.44,1
-0.21,0.37,1
0.45,-0.08,1
0.72,0.25,0
0.52,0.13,1
-0.60,0.65,0
0.46,0.74,0
0.93,-0.19,0
-0.48,-0.16,1
-0.09,1.13,0
0.09,-0.32,1
0.93,-0.39,0
-0.74,-0.69,0
0.42,-0.27,1
0.25,-0.96,0
0.41,-0.03,1
-0.16,-0.15,1
0.66,-0.65,0
0.08,0.82,0
0.72,-0.89,0
-0.11,0.28,1
0.21,-1.17,0
0.19,0.27,1
0.38,-0.27,1
-1.16,0.16,0
-0.97,0.41,0
0.44,0.15,1
-0.05,-0.20,1
0.74,-0.69,0
-0.09,-0.31,1
0.45,-0.59,0
0.29,0.62,1
-0.17,0.43,1
-0.41,0.12,1
0.74,0.39,0
-0.92,0.33,0
0.13,0.24,1
0.53,0.74,0
0.55,-0.96,0
0.15,-0.50,1
0.23,-0.03,1
-0.42,0.13,1
0.08,0.43,1
-0.36,-0.28,1
-0.26,0.92,0
-0.51,0.84,0
-0.62,0.44,0
0.52,0.64,0
-0.95,-0.23,0
0.24,-0.32,1
0.07,-0.92,0
-0.34,0.49,1
-0.00,-0.41,1
-0.25,0.05,1
-0.34,-0.50,1
-0.40,-0.02,1
1.00,0.02,0
1.12,0.04,0
-0.41,-0.24,1
-0.11,0.28,1
-0.25,0.88,0
-0.52,0.92,0
-0.09,1.02,0
0.07,0.39,1
0.87,-0.29,0
-0.88,0.14,0
0.54,-0.73,0
-0.13,-0.46,1
0.72,0.44,0
0.29,-0.02,1
-0.80,0.49,0
0.84,0.26,0
-0.80,0.69,0
0.49,-0.94,0
0.82,0.59,0
-1.09,0.58,0
-0.27,0.33,1
-0.20,0.25,1
0.35,1.13,0
-0.71,-0.74,0
1.13,-0.09,0
0.33,-0.02,1
0.29,0.09,1
0.62,0.71,0
1.00,-0.47,0
0.16,0.31,1
-1.12,-0.04,0
0.47,-0.10,1
0.08,0.43,1
1.04,0.11,0
0.12,-0.48,1
-0.62,1.12,0
-0.36,-0.37,1
-0.29,0.86,0
0.94,0.30,0
-0.10,-0.47,1
-0.48,-0.93,0
-0.71,0.86,0
0.07,0.43,1
0.09,-0.25,1
-0.06,-1.07,0
0.43,-0.79,0
1.14,-0.15,0
0.44,0.22,1
-0.15,-0.09,1
-0.28,-1.01,0
0.31,0.74,0
0.55,-0.86,0
0.31,-0.12,1
1.08,0.23,0
-0.40,0.03,1
-0.23,1.09,0
-0.35,-0.03,1
0.40,-0.75,0
-0.34,0.45,1
1.06,-0.63,0
-0.56,-0.89,0
0.13,-1.18,0
0.57,-0.81,0
0.11,-0.41,1
-0.15,0.46,1
-0.29,-0.03,1
-0.13,0.87,0
0.76,0.60,0
0.23,0.45,1
-0.24,-0.29,1
-0.09,-0.92,0
0.53,0.67,0
0.60,-0.81,0
-0.85,-0.43,0
0.81,-0.55,0
0.18,-0.24,1
-0.59,-0.49,0
0.07,-1.03,0
0.30,-0.89,0
-0.40,0.13,1
-0.32,-0.37,1
-0.42,0.14,1
-0.03,-0.42,1
0.15,-0.33,1
-0.05,0.29,1
0.02,-0.31,1
-0.37,-0.27,1
0.70,0.58,0
0.33,-0.42,1
0.11,-0.44,1
-0.19,0.38,1
0.28,0.19,1
-0.15,-0.23,1
0.42,0.10,1
0.17,0.95,0
-0.39,0.01,1
-0.49,0.97,0
0.16,-0.99,0
-0.31,-1.00,0
0.86,0.16,0
-0.77,0.26,0
-0.53,0.85,0
-0.15,1.06,0
-0.37,0.09,1
0.12,-0.22,1
0.82,0.99,0
-0.68,-0.82,0
0.44,-0.03,1
-0.36,0.99,0
0.20,0.48,1
-0.32,1.02,0
-0.06,0.39,1
0.26,-0.09,1
-0.05,-0.84,0
-0.95,0.39,0
0.90,-0.55,0
0.47,0.41,1
0.34,0.16,1
0.81,-0.55,0
1.06,0.02,0
-0.28,-0.36,1
0.19,0.28,1
0.55,-0.03,1
-0.26,-0.17,1
-0.72,0.86,0
-0.22,-0.09,1
0.31,0.24,1
0.28,0.04,1
-0.18,0.33,1
-0.95,0.27,0
-0.31,0.02,1
0.25,-0.45,1
0.43,-0.98,0
0.07,1.01,0
-0.38,-1.17,0
0.87,-0.47,0
-0.07,-1.13,0
-1.12,0.19,0
-0.01,0.95,0
-0.39,0.86,0
-0.46,0.16,1
-0.51,0.23,1
0.53,-0.71,0
0.31,0.28,1
0.89,-0.94,0
0.23,0.33,1
0.33,-0.29,1
0.29,-1.08,0
0.02,0.70,1
-0.32,1.03,0
0.89,-0.47,0
-0.32,-0.22,1
-0.04,-1.04,0
0.11,-0.36,1
-0.41,-0.90,0
-0.21,-0.25,1
-0.11,1.17,0
0.97,0.18,0
0.40,-0.13,1
0.85,0.94,0
-0.32,-0.12,1
0.47,-0.92,0
0.39,0.28,1
0.89,-0.45,0
0.59,-0.84,0
-0.56,-0.79,0
-0.41,0.24,1
0.13,0.08,1
-0.37,0.30,1
0.08,0.22,1
-0.26,-0.30,1
0.39,0.19,1
-0.13,-0.85,0
-0.52,0.12,1
-0.51,0.27,1
-0.25,0.01,1
-0.25,-0.29,1
0.42,-0.40,1
0.17,-0.33,1
0.81,0.83,0
-0.99,0.25,0
-0.40,-0.80,0
-0.02,-1.18,0
0.37,-0.16,1
-0.81,-0.67,0
0.57,0.61,0
-0.10,-0.38,1
1.08,-0.14,0
-0.20,-0.20,1
-0.88,0.69,0
-0.61,0.91,0
-0.32,0.04,1
0.34,-0.24,1
-0.21,-0.80,0
-0.55,-0.08,1
1.04,-0.28,0
0.53,-0.97,0
-0.25,-0.26,1
0.74,-0.80,0
-0.06,0.45,1
0.91,-0.27,0
0.91,0.47,0
0.83,0.68,0
0.04,0.33,1
0.49,0.03,1
-0.10,0.99,0
-0.73,0.03,0
0.17,-0.35,1
0.05,-0.94,0
0.99,-0.38,0
-0.33,0.27,1
-0.16,0.94,0
-0.42,0.14,1
0.84,0.61,0
0.01,0.84,0
0.33,-0.89,0
0.14,0.49,1
-0.04,-0.55,1
1.00,0.27,0
0.26,-0.40,1
-0.81,0.44,0
-1.02,-0.53,0
0.44,0.10,1
1.11,0.17,0
1.03,0.38,0
0.13,0.40,1
-0.02,-0.44,1
0.81,0.57,0
0.29,-0.06,1
0.05,-0.32,1
-0.22,0.34,1
-0.41,0.74,0
-0.48,0.15,1
-0.24,0.56,1
-0.30,-0.32,1
0.30,0.26,1
0.19,0.26,1
0.72,-0.45,0
0.57,0.89,0
-0.78,0.38,0
0.30,0.80,0
0.31,0.26,1
-0.28,1.04,0
-0.08,1.11,0
-0.70,-0.73,0
-0.05,-0.32,1
-0.37,-0.02,1
0.43,0.01,1
-0.81,-0.65,0
-0.84,0.22,0
-0.87,0.72,0
0.98,-0.48,0
-0.04,-0.44,1
0.30,0.87,0
0.44,0.23,1
0.71,-0.87,0
-0.11,0.39,1
0.76,-0.78,0
-0.89,0.53,0
0.50,-0.84,0
-0.88,0.63,0
0.47,-0.01,1
1.06,0.40,0
-0.77,-0.52,0
0.76,-0.77,0
-0.12,0.35,1
-0.34,-0.19,1
-0.31,0.23,1
-0.22,-0.46,1
1.02,0.28,0
-1.01,-0.23,0
-0.22,-0.39,1
-0.85,-0.63,0
-0.53,0.21,1
0.10,0.49,1
-0.46,0.75,0
0.53,-1.00,0
0.93,0.55,0
1.14,0.18,0
-0.18,0.33,1
-0.29,0.19,1
-0.23,-0.52,1
0.12,1.21,0
-0.30,-0.24,1
-0.32,0.28,1
-0.45,-1.10,0
0.18,0.38,1
-0.98,0.33,0
-0.85,-0.28,0
-0.39,0.11,1
-0.13,-0.87,0
0.20,0.98,0
-0.12,-0.58,1
-0.90,-0.53,0
0.46,-0.11,1
-0.70,0.62,0
0.84,0.45,0
0.24,0.08,1
0.61,-0.75,0
-0.80,0.62,0
-0.44,0.20,1
0.82,-0.18,0
0.84,0.61,0
-0.51,0.95,0
0.84,-0.31,0
-0.72,0.31,0
-0.41,0.08,1
1.00,-0.14,0
-0.97,0.34,0
0.06,0.82,0
-0.78,-0.90,0
-0.34,-0.94,0
0.41,-0.15,1
-0.29,-0.01,1
0.38,0.82,0
-0.20,0.29,1
-0.88,0.17,0
0.33,0.12,1
0.99,0.13,0
-0.06,1.00,0
0.27,-0.38,1
-0.55,0.93,0
0.38,0.72,0
0.31,-1.01,0
0.01,-0.31,1
0.79,-0.66,0
0.33,0.33,1
-0.36,-0.24,1
-0.41,0.90,0
0.49,-0.96,0
0.43,-0.34,1
-0.65,-0.51,0
-0.54,-0.81,0
-0.27,0.07,1
-0.30,0.15,1
0.51,0.13,1
-0.07,-1.04,0
-1.01,0.01,0
0.57,0.70,0
0.47,0.25,1
-0.89,0.04,0
0.91,-0.32,0
0.47,-0.24,1
-0.11,-0.48,1
-0.41,0.22,1
0.81,-0.58,0
-0.36,0.23,1
-0.45,0.03,1
0.16,1.12,0
-0.49,-0.13,1
-0.80,0.22,0
-0.84,0.40,0
0.42,0.03,1
0.38,-0.32,1
0.09,-0.28,1
0.60,-0.58,0
-0.36,1.00,0
1.10,0.39,0
-0.22,0.18,1
-0.76,0.51,0
0.98,-0.47,0
0.90,-0.57,0
-0.37,0.24,1
0.05,0.41,1
0.96,-0.35,0
-0.88,-0.26,0
-0.63,0.81,0
0.02,-0.30,1
0.28,-0.14,1
0.25,-0.35,1
0.31,-0.12,1
0.68,-0.54,0
-0.43,0.30,1
0.47,-0.21,1
0.46,1.06,0
-0.08,0.36,1
0.07,-0.98,0
0.17,-0.39,1
-0.28,0.06,1
-0.49,-0.85,0
1.01,0.05,0
-0.65,-0.54,0
0.07,0.27,1
0.20,-0.48,1
1.00,0.33,0
-0.13,-0.36,1
0.31,-0.98,0
-0.05,-0.20,1
-0.12,-0.99,0
-0.29,0.16,1
-0.59,-0.97,0
0.27,-0.90,0
-0.36,-0.11,1
0.87,-0.22,0
0.89,0.69,0
-0.00,-0.87,0
-0.01,-0.28,1
0.01,-0.99,0
-0.93,-0.36,0
0.62,1.15,0
0.36,-0.44,1
-0.12,-0.28,1
0.26,-0.99,0
-0.00,0.39,1
-0.57,-0.99,0
0.83,-0.35,0
0.13,-0.30,1
0.30,0.39,1
0.28,0.27,1
-0.08,-0.28,1
0.20,0.94,0
-0.93,-0.62,0
-0.17,0.32,1
0.15,-0.46,1
-0.31,0.15,1
0.95,-0.34,0
1.05,-0.12,0
-0.31,0.27,1
-0.39,-0.24,1
-0.36,0.14,1
1.19,0.15,0
1.01,-0.08,0
0.60,-0.77,0
-0.25,0.38,1
0.34,-0.15,1
0.08,0.99,0
0.35,-0.18,1
-0.46,-0.04,1
0.28,0.09,1
0.42,0.06,1
0.83,0.00,0
-0.80,0.62,0
0.43,0.00,1
-1.01,-0.10,0
-0.80,0.49,0
-0.95,-0.05,0
0.12,-0.26,1
-0.27,-1.01,0
0.19,1.05,0
0.36,-0.34,1
-0.29,0.25,1
-0.89,-0.42,0
-0.71,-0.46,0
-0.91,-0.14,0
0.64,-0.67,0
-0.46,-0.90,0
0.78,-0.50,0
-1.06,-0.49,0
0.10,-0.46,1
0.81,0.34,0
-0.46,0.83,0
0.16,-0.29,1
-0.24,-0.93,0
-0.31,1.04,0
-0.49,0.80,0
0.41,-1.04,0
0.05,-0.98,0
-1.01,0.26,0
1.09,0.13,0
-0.84,-0.32,0
-0.08,-0.39,1
