Bedrooms,Bathrooms,Sqft_living,Sqft_lot,Floors,Waterfront,View,Condition,Sqft_above,Sqft_basement,Yr_built,Yr_renovated,Price
2,1,1270,6540,1,0,0,4,960,310,1920,0,8540000
1,1,830,6000,1,0,0,3,830,0,1924,0,8463000
3,1.75,1410,8875,3,0,0,3,1410,0,2012,0,8400000
3,2,1550,7950,2,0,0,3,1550,0,1996,0,8400000
2,1,1050,5500,1,0,0,3,1050,0,1950,0,8400000
3,1,1280,7475,1.5,0,0,3,1280,0,1903,0,8400000
2,2.25,1040,7000,2,0,0,3,1040,0,2008,0,8400000
2,2.5,1560,4880,2,0,0,3,1080,480,2008,0,8295000
2,1.5,1370,5960,2,0,0,3,1080,290,2008,0,8190000
3,2.5,1470,6840,2,0,0,3,930,540,2006,0,8120000
2,1.5,1050,7000,2,0,0,3,960,90,2007,0,8080940
2,1.5,1050,7482,2,0,0,3,960,90,2007,0,8043000
2,1.5,960,9000,2,0,0,3,960,0,2005,0,7980000
3,2.5,1626,6000,2.5,0,0,3,1419,207,2007,0,7962500
3,3.5,1550,6000,2,0,0,3,1160,390,2005,0,7910000
3,2,980,6550,1,0,0,3,980,0,1940,0,7875000
4,2.5,1970,6360,2,0,0,3,1440,530,1999,0,7840000
3,3.5,2480,6480,2,0,0,3,2480,0,2010,0,7700000
2,1,1270,6000,1.5,0,0,3,1270,0,1909,0,7700000
4,2,2920,6000,1,0,0,5,1520,1400,1964,0,7560000
3,1.75,1500,6000,1,0,0,4,1500,0,1976,0,7560000
3,1.5,1630,6000,1,0,0,4,1300,330,1976,0,7525000
4,2.25,2600,6600,1,0,0,3,1390,1210,1978,0,7490000
3,1.75,1650,4300,1,0,0,4,1650,0,1977,0,7455000
4,2.25,2040,7440,1,0,0,4,1580,460,1978,0,7420000
4,2.5,2440,7440,2,0,0,3,2440,0,1987,0,7420000
4,2.5,2540,6325,2,0,0,3,2540,0,1987,0,7420000
4,2.5,3190,6000,2,0,0,3,3190,0,1988,0,7350000
3,2.25,1440,5150,1,0,0,3,1180,260,1988,0,7350000
4,2.5,2620,6000,2,0,0,3,2620,0,1990,0,7350000
4,2.5,2300,6000,2,0,0,3,2300,0,1990,0,7350000
4,2.5,2330,11440,2,0,0,3,2330,0,1987,0,7343000
3,3.25,3680,9000,2,0,0,3,2340,1340,1988,0,7245000
4,2.5,2460,7680,2,0,0,3,2460,0,1989,0,7210000
3,2.5,2670,6000,2,0,0,3,2670,0,1989,0,7210000
3,2.5,2390,6000,2,0,0,4,2390,0,1990,0,7140000
4,2.5,2820,8880,2,0,0,3,2820,0,1990,0,7070000
4,2.5,3100,6240,2,0,0,3,3100,0,1990,0,7070000
4,2.5,2500,6360,2,0,0,3,2500,0,1991,0,7035000
4,2,2260,11175,2,0,0,3,2260,0,1992,0,7000000
3,2.25,1610,8880,1,0,0,4,1110,500,1968,0,6930000
5,1.75,1250,13200,1,0,0,4,1250,0,1966,0,6930000
4,2.75,2170,7700,2,0,0,3,2170,0,2012,0,6895000
3,1,1320,6000,2,0,0,3,1320,0,1900,0,6860000
3,1,940,12090,1.5,0,0,4,940,0,1958,0,6790000
3,1,1150,4000,1.5,0,0,4,1150,0,1956,0,6790000
3,1,940,6000,1.5,0,0,4,940,0,1959,0,6755000
3,1.75,1630,5020,1,0,0,4,1080,550,1977,0,6720000
3,1,1090,6600,1.5,0,0,3,1090,0,1959,0,6685000
4,1.75,1820,4040,1.5,0,0,3,1120,700,1959,0,6650000
3,1,1610,4260,1.5,0,0,3,1610,0,1959,0,6650000
3,1,1240,6420,1.5,0,0,4,1240,0,1959,0,6650000
3,1,830,6500,1,0,0,3,830,0,1959,0,6650000
4,1.75,1990,5700,1,0,0,4,1850,140,1968,0,6650000
4,2.25,2210,6000,2,0,0,4,2210,0,1968,0,6650000
4,2.25,2170,6000,1,0,0,4,1300,870,1976,0,6629000
4,2.5,3700,4000,1,0,0,5,1920,1780,1973,0,6615000
3,2.25,2230,10500,1,0,0,4,1510,720,1974,0,6615000
5,2.5,2910,6000,1,0,0,4,1690,1220,1964,0,6580000
3,2.5,2290,3760,3,0,0,4,2290,0,1953,1983,6510000
3,2.5,2070,8250,1.5,0,0,5,1270,800,1910,0,6510000
3,2.5,2010,6670,1,0,0,4,1450,560,1955,0,6510000
4,3,2253,3960,2,0,0,3,2253,0,1957,2014,6475000
5,2.5,1740,7410,1,0,0,4,1740,0,1959,0,6475000
3,1,1860,8580,1,0,0,3,1860,0,1957,0,6440000
3,2,1979,5000,1,0,2,4,1329,650,1956,0,6440000
3,2.5,1790,6750,2,0,0,3,1790,0,1989,0,6419000
3,2.5,1790,4800,2,0,0,3,1790,0,1989,0,6405000
3,2,1680,7200,1,0,0,3,1680,0,1987,0,6300000
3,2.5,2150,6000,2,0,0,3,2150,0,1988,0,6300000
3,2.5,2150,4100,2,0,0,3,2150,0,1988,0,6300000
3,2.5,2030,9000,1,0,0,3,2030,0,1988,0,6300000
3,2.25,1570,6400,1,0,0,3,1180,390,1988,0,6300000
3,1.75,1470,6600,1,0,0,3,1470,0,1987,0,6293000
3,2.5,1680,6000,2,0,0,3,1680,0,1988,0,6265000
4,2.75,2050,6600,1,0,0,3,1540,510,1988,0,6230000
4,2.5,2400,5500,2,0,0,3,2400,0,1990,0,6230000
4,2.5,2050,5500,2,0,0,3,2050,0,1987,0,6195000
3,2.5,1900,6350,2,0,0,3,1900,0,1987,0,6195000
3,2.5,1830,5500,2,0,0,3,1830,0,1987,0,6195000
5,1.75,2490,4500,1,0,2,4,1540,950,1959,0,6160000
3,2.5,2840,5450,1,0,3,3,1870,970,1994,0,6160000
3,2,2090,6420,1.5,0,0,4,1490,600,1930,0,6125000
4,3,4190,3240,2.5,0,2,5,3490,700,1928,0,6107500
3,2.25,3360,6615,2,0,0,3,2770,590,1905,2004,6090000
4,1.5,2040,6600,2,0,0,3,2040,0,1903,0,6090000
5,4.25,4860,8372,1.5,0,1,5,3100,1760,1905,0,6090000
3,1.75,1370,4300,3,0,0,3,1370,0,2014,0,6083000
4,1.75,4060,9620,2,0,0,5,2660,1400,1924,0,6083000
3,2.5,2450,6800,2,0,0,4,1800,650,1922,0,6020000
4,2,2050,8000,1.5,0,0,4,2050,0,1922,0,6020000
5,2,2940,6900,2,0,0,4,2340,600,1909,0,6020000
6,2.25,4910,3700,2.5,0,0,5,3580,1330,1910,0,5950000
3,3.5,4660,6420,2,0,4,5,3040,1620,1909,0,5950000
4,1.75,1800,7020,2,0,3,4,1800,0,1921,0,5950000
2,1,1240,6540,1,0,0,3,1240,0,1954,0,5950000
5,3,3730,7231,1.5,0,0,3,2160,1570,1927,0,5950000
3,1.75,1620,6254,2.5,0,0,3,1430,190,2005,0,5950000
3,2.25,1750,7320,2.5,0,0,3,1470,280,2005,0,5950000
3,1.75,2060,6525,2,0,0,4,1500,560,1918,0,5950000
4,1,1820,15600,1.5,0,0,3,1820,0,1923,2014,5943000
3,2,2350,7160,1.5,0,0,4,1990,360,1922,0,5880000
3,2.5,1660,6500,3,0,0,3,1660,0,2008,0,5880000
2,1,1110,5500,1.5,0,0,3,970,140,1912,0,5873000
3,1.75,1600,11460,2,0,0,3,1600,0,1929,0,5873000
2,1.75,1510,4800,3,0,0,3,1420,90,2013,0,5866000
3,1.5,1160,5828,3,0,0,3,1160,0,2008,0,5810000
2,2.5,1150,5200,3,0,0,3,1150,0,2008,0,5810000
2,2.25,1260,4800,3,0,0,3,1260,0,2007,0,5810000
2,2.25,1300,7000,3,0,0,3,1300,0,2008,0,5803000
2,1.5,1010,6000,3,0,0,3,1010,0,1999,0,5775000
2,2.75,1310,5400,3.5,0,0,3,1310,0,2007,0,5740000
3,2.5,1400,4640,3.5,0,0,3,1400,0,2007,0,5740000
3,2.25,1650,5000,3,0,0,3,1650,0,2014,0,5740000
3,2.25,1480,6360,3,0,0,3,1480,0,2014,0,5740000
3,1.75,1630,5800,3,0,0,3,1630,0,2014,0,5740000
3,1.75,1630,6660,3,0,0,3,1630,0,2014,0,5652500
2,1.5,1120,10500,3,0,0,3,1120,0,1999,0,5600000
3,3.25,1460,4800,3,0,0,3,1460,0,2000,0,5600000
2,3.25,1400,4700,3,0,0,3,1400,0,2000,0,5600000
3,2.5,1776,5000,3,0,0,3,1604,172,2006,0,5600000
3,2.5,1909,10500,3,0,0,3,1766,143,2006,0,5600000
2,2.25,1260,5500,3,0,0,3,1260,0,2004,0,5600000
3,2.5,1730,6360,3,0,0,3,1730,0,2011,0,5600000
3,2.5,1780,6600,3,0,0,3,1600,180,2006,0,5600000
1,1,670,5136,1,0,0,5,670,0,1905,0,5600000
2,2,1250,4400,1,0,0,3,1250,0,1957,0,5565000
3,2.5,1770,5400,3,0,0,3,1770,0,2012,0,5565000
4,1,1540,3300,1.5,0,0,4,1540,0,1906,0,5530000
2,2.5,1470,3650,3,0,3,3,1470,0,2008,0,5530000
2,2,1500,6100,3,0,3,3,1500,0,2008,0,5530000
4,2,2130,6900,1.5,0,0,5,1650,480,1919,0,5523000
2,2,1550,2817,1.5,0,0,4,1550,0,1900,0,5495000
3,2.25,1500,7980,3,0,0,3,1500,0,2007,0,5495000
3,2.25,1420,3150,3,0,0,3,1420,0,2006,0,5460000
3,2.25,1420,6210,3,0,0,3,1420,0,2006,0,5460000
3,2.25,1420,6100,3,0,0,3,1420,0,2006,0,5460000
2,2.25,1530,6600,3,0,0,3,1480,50,2006,0,5460000
4,2,1790,6825,1,0,2,4,840,950,1909,0,5425000
3,3,1440,6710,3.5,0,2,3,1440,0,2005,0,5390000
3,2.5,1820,6450,3,0,2,3,1640,180,1998,0,5383000
2,1.75,1950,7800,1,0,0,5,1010,940,1919,0,5320000
3,2.5,1870,4600,3,0,0,3,1380,490,2007,0,5285000
3,1,1220,4260,1.5,0,0,3,1220,0,1901,0,5250000
3,2.5,1540,6540,3,0,0,3,1540,0,2004,0,5250000
3,3.5,1450,5500,2,0,0,3,1200,250,2007,0,5250000
3,2,1420,10269,2.5,0,0,3,1340,80,2007,0,5250000
3,2.5,2000,8400,3,0,0,3,2000,0,2005,0,5250000
3,2.5,3430,5300,2,0,0,3,3430,0,2014,0,5250000
4,2.25,2330,3800,1,0,0,3,1740,590,1962,0,5250000
4,1.75,2190,9800,1,0,0,3,2190,0,1964,0,5250000
4,2.5,2400,8520,1,0,0,3,1510,890,1967,0,5250000
4,2.5,2270,6050,1,0,0,3,1540,730,1967,0,5243000
4,2.5,2270,7085,1,0,0,3,1540,730,1967,0,5229000
4,2.75,3140,3180,1,0,0,3,1900,1240,1968,1986,5215000
4,3.5,3530,4500,2,0,0,3,2660,870,2000,0,5215000
3,2.5,2420,7200,2,0,0,3,2420,0,2009,0,5215000
4,3.5,3620,3410,2.5,0,0,3,3620,0,2003,2009,5145000
4,2,1680,7980,1,0,0,5,840,840,1915,0,5145000
3,2.5,1890,3000,1.5,0,0,4,1460,430,1915,0,5110000
3,2,1940,3000,1.5,0,0,5,1150,790,1944,0,5110000
4,1.75,1880,11410,1.5,0,0,4,1090,790,1944,0,5110000
4,2.5,2860,6100,1.5,0,2,5,1720,1140,1924,0,5110000
4,2.75,2720,5720,2,0,0,3,1790,930,1920,2009,5075000
3,2,1490,3540,1,0,0,3,1490,0,1959,0,5040000
2,1,810,7600,1,0,0,3,810,0,1952,0,5040000
2,1,800,10700,1,0,0,4,800,0,1944,0,5040000
4,1.75,1880,6600,1.5,0,0,3,1090,790,1944,0,5040000
4,3,2400,4800,1,0,0,4,1200,1200,1964,0,5033000
3,1.75,1630,8150,2,0,0,3,1020,610,2013,0,5005000
3,1.75,1630,4410,2,0,0,3,1020,610,2014,0,4970000
3,1.75,1850,7686,1,0,0,3,1150,700,1977,0,4970000
3,1,1430,2800,1,0,0,3,980,450,1947,0,4956000
3,2,1430,5948,1,0,0,3,980,450,1947,0,4935000
3,1,1460,4200,1,0,0,3,1260,200,1906,0,4907000
6,4.5,2750,4520,2,0,0,3,1770,980,1987,0,4900000
2,2,1660,4095,1,0,0,5,1120,540,1906,0,4900000
3,1,1510,4120,1,0,0,4,860,650,1940,0,4900000
3,1,1510,5400,1,0,0,4,860,650,1940,0,4900000
4,1.75,1850,4770,1,0,0,3,1850,0,1954,0,4900000
4,2.5,2040,6300,2,0,0,3,2040,0,1990,0,4900000
3,2.25,1220,5800,1,0,0,3,790,430,1984,0,4900000
4,2.5,2830,3000,2,0,0,3,2170,660,2000,0,4900000
1,1,720,2970,1,0,0,3,720,0,1911,0,4900000
3,2.25,2170,6720,2,0,0,3,2170,0,2014,0,4900000
9,4.5,3830,4646,2.5,0,0,3,2450,1380,1938,0,4900000
2,1.75,1460,12900,1,0,0,5,850,610,1950,0,4900000
3,2.5,2480,3420,2,0,0,3,2480,0,1990,0,4893000
3,1.5,1340,4995,1.5,0,0,3,1340,0,1955,0,4893000
2,1,1150,4350,1,0,0,3,1150,0,1954,0,4865000
4,2,2340,4160,1.5,0,0,4,2340,0,1959,0,4830000
3,1,860,6040,1,0,0,4,860,0,1963,0,4830000
3,2,1630,6862,1,0,0,3,1630,0,2003,0,4830000
3,2.5,3300,4815,1,0,0,5,1650,1650,1961,0,4830000
3,1.5,1060,7000,1,0,0,3,1060,0,1963,0,4795000
3,1.75,2440,8100,1,0,0,4,1220,1220,1962,0,4795000
4,2,1580,3420,1,0,0,5,1050,530,1965,0,4767000
3,1.5,1010,9166,1,0,0,4,1010,0,1962,0,4760000
2,1.75,1340,6321,1,0,0,5,700,640,1949,0,4760000
4,3.5,3440,10240,2,0,0,4,3440,0,2002,0,4760000
3,1,1070,6440,1,0,0,4,1070,0,1950,0,4753000
1,1,1220,5170,1,0,4,4,1220,0,1946,0,4690000
3,1.75,1370,6000,1,0,0,3,1370,0,1987,0,4690000
3,1.75,1630,3630,1.5,0,0,4,1630,0,1985,0,4690000
3,1.75,1590,9667,2,0,0,3,1590,0,1986,0,4690000
5,2.5,2580,5400,1,0,0,3,1410,1170,1964,0,4690000
5,2.25,3740,4320,1.5,0,0,3,2240,1500,1958,0,4690000
5,3,3690,3745,1,0,2,3,2690,1000,1960,0,4655000
3,2.5,2730,4160,2,0,0,3,2730,0,2012,0,4620000
5,1.75,1320,3880,1,0,0,4,1120,200,1947,0,4620000
4,2,1790,5680,1,0,1,4,1670,120,1960,0,4620000
3,2.5,2700,2870,1,0,3,4,1350,1350,1959,0,4620000
2,1,1390,5010,1,0,2,4,1390,0,1949,0,4620000
3,1.75,2470,4510,1,0,1,4,1570,900,1962,0,4613000
4,2.75,2960,4000,1,0,1,3,2360,600,1979,0,4585000
1,1,1180,3840,1,0,2,3,1180,0,1948,0,4585000
4,2,1330,3760,1.5,0,0,3,1330,0,1928,2004,4550000
4,1.75,1680,3640,1,0,0,3,1100,580,1977,0,4550000
3,2,1680,2550,1,0,0,3,880,800,1948,0,4550000
3,2.25,1650,5320,2,0,0,3,1650,0,1988,0,4550000
2,1,1210,5360,1,0,1,4,1210,0,1952,0,4550000
3,1.5,1340,3520,1,0,0,4,1340,0,1966,0,4550000
3,1.75,1460,8400,1,0,0,3,1460,0,1993,0,4550000
3,2,2460,4100,1,1,4,3,2460,0,1955,0,4543000
2,1,1760,4990,1,1,4,4,1300,460,1951,0,4543000
3,2.25,1470,3510,1,0,0,3,1160,310,1985,0,4515000
3,2.25,1470,3450,1,0,0,3,1160,310,1985,0,4515000
3,2.25,1470,9860,1,0,0,3,1160,310,1985,0,4515000
4,2.5,3120,3520,2,0,0,3,3120,0,2005,0,4515000
3,2,1470,4510,1,0,0,4,1470,0,1968,0,4480000
3,2.75,2310,5885,1,0,0,4,1520,790,1940,0,4480000
3,2,3010,4000,2,0,2,5,1890,1120,1931,0,4480000
4,2.75,3090,8250,1,0,2,3,1800,1290,1956,0,4480000
2,1.75,1700,4040,1,0,1,3,1260,440,1950,0,4480000
4,3,3680,6360,1,0,3,3,2060,1620,1967,0,4473000
4,2.5,3220,3162,2,0,2,3,2180,1040,1937,0,4473000
3,2,1678,3510,1,0,0,3,1678,0,1994,0,4473000
4,2.5,2210,3750,1,0,0,3,2210,0,1997,0,4445000
2,1,1300,3968,1,0,0,4,1300,0,1960,0,4410000
4,2.25,2620,4900,1,0,0,3,1820,800,1952,0,4410000
3,2.5,1760,2880,1.5,0,0,5,1760,0,1937,0,4403000
2,1,930,4880,1,0,0,1,930,0,1932,0,4403000
2,1,930,4920,1,0,0,1,930,0,1932,0,4403000
4,1.5,1370,4950,1,0,0,3,1070,300,1953,0,4382000
3,1.5,1480,3900,1,0,0,3,1480,0,1962,0,4375000
2,1,940,4500,1,0,0,2,940,0,1954,0,4340000
4,2.25,2670,1905,1,0,0,3,2170,500,1955,0,4340000
3,1,1350,4075,1,0,0,2,1200,150,1946,0,4340000
3,1.75,1160,3500,1,0,0,2,1160,0,1980,0,4340000
3,3,2840,6450,2,0,0,3,2840,0,1999,0,4340000
4,2,1410,4032,1.5,0,0,3,1410,0,1927,0,4319000
6,3,3420,4400,1,0,0,5,2270,1150,1948,0,4305000
4,2.75,2890,10360,2,0,0,3,2890,0,2014,0,4305000
3,2.25,2090,3400,1,0,2,5,1280,810,1952,0,4277000
4,2.75,2290,6360,1,0,2,5,2290,0,1963,0,4270000
3,2.25,1920,6360,1,0,0,3,1920,0,1972,2000,4270000
3,3.25,4110,4500,2,0,0,3,2630,1480,2002,0,4270000
3,3,3850,2175,2,0,1,3,3850,0,2000,0,4270000
4,2.75,3090,4360,2,0,0,3,3090,0,2014,0,4270000
4,3.75,3280,7770,2,0,0,3,3280,0,2014,0,4270000
5,4.75,5990,6650,2,1,4,3,4050,1940,2002,0,4235000
3,2.5,3545,2787,1,0,0,3,2610,935,2005,0,4235000
3,2.75,3150,5500,2,0,0,4,3000,150,1990,0,4200000
5,1,2150,5040,1.5,0,0,3,2150,0,1900,2000,4200000
7,2.75,3410,5850,1.5,0,0,4,2130,1280,1906,0,4200000
4,2,2450,2610,1,0,0,3,1450,1000,1913,1980,4200000
2,1,710,2953,2,0,0,4,710,0,1943,0,4200000
3,1,1980,2747,1.5,0,0,3,1980,0,1912,0,4200000
3,3.5,3870,4410,2,0,0,3,2760,1110,2002,0,4200000
2,1,710,4000,2,0,0,4,710,0,1943,0,4200000
3,2.5,2200,2325,2,0,0,3,1610,590,2008,0,4200000
2,2.5,1360,4600,2,0,0,3,1360,0,1999,0,4200000
3,2.5,1380,3640,3,0,0,3,1380,0,2008,0,4200000
2,1,710,5800,2,0,0,4,710,0,1943,0,4200000
2,1,710,7000,2,0,0,4,710,0,1943,0,4200000
4,3.5,4500,4079,1,0,0,3,3340,1160,1990,0,4200000
4,4.25,3250,3520,2,0,0,3,2360,890,1944,2001,4200000
3,2,1760,2145,1,0,0,3,1760,0,1953,0,4200000
4,1.75,1440,4500,1,0,0,4,1440,0,1967,0,4200000
3,1.75,1880,8250,1,0,0,3,1380,500,1967,0,4193000
4,2.5,2480,3450,1,0,0,4,1820,660,1967,0,4193000
4,3,3570,4840,1.5,0,3,3,2630,940,1935,2007,4165000
4,2.5,3250,4080,1,0,2,3,2030,1220,1985,0,4165000
4,2.5,3650,4046,1,1,4,3,1830,1820,2000,0,4165000
3,2.5,2830,4632,3,1,4,3,2830,0,2006,0,4130000
1,2,3000,5985,2.5,0,2,3,3000,0,1979,0,4130000
3,2.25,2750,6060,2,0,0,3,1870,880,1981,0,4123000
2,1.75,2260,3600,2,0,2,3,1890,370,2005,0,4098500
3,2,1420,3680,1,0,0,4,1420,0,1990,0,4095000
3,2.5,1530,4040,2,0,0,4,1530,0,1991,0,4095000
3,2.25,1510,5600,1,0,0,4,1150,360,1993,0,4095000
3,2.25,1760,5900,2,0,0,3,1760,0,1991,0,4060000
3,1.75,1450,4992,1,0,0,4,1450,0,1991,0,4060000
3,2.25,1490,4340,2,0,0,3,1490,0,1993,0,4060000
3,1.75,1490,3000,1,0,0,4,1490,0,1993,0,4060000
3,2,1640,4320,1,0,0,4,1640,0,1991,0,4060000
3,3,1850,3630,1,0,0,4,1090,760,1992,0,4025000
3,2.25,1520,3460,2,0,0,4,1520,0,1992,0,4025000
3,2.5,1670,5400,2,0,0,4,1670,0,1992,0,4025000
3,2.25,1370,4500,2,0,0,4,1370,0,1992,0,4007500
3,2.25,1370,3460,2,0,0,3,1370,0,1993,0,4007500
3,2.25,1370,4100,2,0,0,4,1370,0,1993,0,3990000
3,1.75,1520,6480,1,0,0,4,1170,350,1992,0,3990000
3,2.5,1510,4500,2,0,0,4,1510,0,1991,0,3990000
3,2.25,1900,3960,2,0,0,4,1900,0,1992,0,3990000
3,2.5,1610,4050,2,0,0,4,1610,0,1993,0,3990000
4,4.25,4930,7260,2,0,0,3,4930,0,2005,0,3920000
4,2.75,4140,5500,2,0,0,3,4140,0,2002,0,3920000
3,3.5,4500,3000,2,0,0,3,4500,0,2004,0,3920000
4,4.25,5710,3290,2,0,0,3,5710,0,2007,0,3920000
3,1.5,2120,3816,1,0,0,4,1420,700,1973,0,3920000
3,2,1470,8080,1,0,0,4,1470,0,1956,0,3920000
2,2,1400,2145,1,0,0,3,1400,0,1957,0,3920000
3,1.5,1120,3780,1,0,0,4,1120,0,1937,0,3885000
3,2.25,1352,3180,3,0,0,3,1352,0,2007,0,3885000
2,2,1030,5300,3,0,0,3,1030,0,1999,0,3850000
3,1.75,1680,3180,1,0,0,4,1680,0,1963,0,3850000
2,1.5,1230,7152,3,0,0,3,1230,0,2000,0,3850000
4,2.5,2440,4080,2,0,0,3,2440,0,2014,0,3850000
3,2.5,1720,3850,2,0,0,3,1720,0,2011,0,3850000
3,2,1430,2015,1,0,0,4,1430,0,1964,0,3850000
3,2,2090,2176,1,0,0,3,2090,0,1992,0,3850000
3,1.75,1480,3350,1.5,0,0,3,1480,0,1980,0,3836000
1,1.5,1200,3150,1.5,0,0,3,1200,0,1983,0,3815000
2,1.75,1310,4820,1,0,0,2,1110,200,1929,0,3780000
3,1.75,1620,3420,1,0,0,5,940,680,1926,0,3780000
4,3,2550,3600,2,0,0,3,1720,830,1908,2013,3780000
3,3.25,1530,5830,2,0,0,3,1200,330,2007,0,3780000
3,2,1390,2856,1.5,0,0,5,1390,0,1915,0,3780000
4,1.75,1640,8400,1,0,0,5,920,720,1921,0,3780000
3,1,1040,8250,1,0,0,4,860,180,1924,0,3773000
2,1,1050,2520,1,0,0,5,850,200,1927,0,3773000
2,1,1090,6930,1,0,0,3,840,250,1926,0,3773000
3,1.75,1770,3480,1,0,0,3,1130,640,1952,0,3745000
4,1.75,1920,3600,1,0,0,4,960,960,1954,0,3710000
3,2.25,1890,4040,1,0,0,4,1230,660,1973,0,3710000
4,2,1870,6020,1.5,0,0,3,1870,0,1956,0,3710000
4,2,1870,4050,1.5,0,0,3,1870,0,1956,0,3710000
4,2.5,2170,3584,1,0,3,3,1350,820,1955,0,3710000
3,2.25,2230,3120,1.5,0,2,5,1450,780,1928,0,3703000
3,2.5,1600,5450,2,0,0,3,1600,0,2003,0,3703000
4,3.75,3820,3630,1,0,0,3,3820,0,1994,0,3675000
3,2.5,2690,3630,2,0,3,3,2690,0,1997,0,3675000
3,2.5,2330,5640,1,0,2,3,2330,0,1996,0,3675000
3,2.5,3050,3600,2,0,0,3,3050,0,1997,0,3675000
3,2.5,3490,4280,1.5,0,2,3,2242,1248,2009,0,3640000
3,1,1190,3570,1.5,0,0,5,1190,0,1935,0,3640000
2,1.5,1390,3180,1,0,0,4,970,420,1954,0,3640000
2,1,1250,3000,1,0,0,3,940,310,1938,0,3640000
2,2,1440,3520,1.5,0,0,3,1440,0,1983,0,3640000
3,1,1440,5960,1.5,0,0,3,1440,0,1908,0,3640000
3,1.75,1910,4130,1,0,3,3,1110,800,1941,0,3640000
6,2.5,2270,2850,1,0,0,3,1470,800,1964,0,3640000
2,2.5,1785,2275,2,0,0,3,1595,190,1975,0,3640000
4,2.75,2150,3520,1,0,0,5,1240,910,1976,0,3633000
3,1,1270,4500,1,0,0,5,1270,0,1969,0,3605000
3,2.5,1610,4000,1,0,0,4,1190,420,1969,0,3605000
3,2.25,1740,3150,1,0,0,4,1180,560,1977,0,3570000
3,1,1410,4500,1,0,0,3,1050,360,1969,0,3570000
3,1,1270,4500,1,0,0,5,1270,0,1969,0,3570000
5,3,3850,3640,1,0,0,4,2290,1560,1964,0,3570000
3,1,1140,3850,1,0,0,3,1140,0,1963,0,3535000
3,1.75,2660,4240,1,0,0,3,1330,1330,1948,0,3500000
4,2.25,1930,3650,1,0,0,3,1300,630,1960,0,3500000
3,2.25,2580,4600,1,0,0,3,1630,950,1963,0,3500000
4,2.25,1740,2135,1,0,2,3,1160,580,1957,0,3500000
3,2,2330,3036,2.5,0,0,3,2330,0,1987,0,3500000
4,2.5,2620,3990,2,0,0,3,2620,0,1996,0,3500000
4,2.5,2620,7424,2,0,0,3,2620,0,1996,0,3500000
3,2.5,2070,3480,2,0,0,3,2070,0,1996,0,3500000
3,2,1960,3600,1,0,0,4,1000,960,1977,0,3500000
3,1,840,3640,1,0,0,4,840,0,1945,0,3500000
4,2.5,2480,5900,2,0,0,3,2480,0,2001,0,3500000
2,1.5,1900,3120,1,0,0,5,1500,400,1916,0,3500000
3,2.5,2070,7350,2,0,0,3,2070,0,1997,0,3500000
4,2.5,2380,3512,2,0,0,3,2380,0,1997,0,3500000
4,2.5,1790,9500,2,0,0,3,1790,0,1993,0,3500000
3,2.5,2120,5880,2,0,0,3,2120,0,1988,0,3500000
3,2.5,2090,12944,2,0,0,3,2090,0,1989,0,3500000
3,2.5,2250,4900,2,0,0,4,2250,0,1988,0,3493000
5,2.75,2790,3060,1.5,0,0,4,2140,650,1949,0,3465000
5,3.25,4300,5320,2,0,3,3,2910,1390,1957,2009,3465000
4,2.5,2030,2145,1,0,0,4,1530,500,1953,0,3465000
3,2.75,2020,4000,1,0,0,5,1270,750,1954,0,3430000
3,2.25,2120,3185,2,0,0,3,2120,0,1994,0,3430000
5,3.25,2400,3850,2,0,0,4,1780,620,1928,0,3430000
4,2.5,2150,2145,1,0,0,3,1430,720,1957,0,3430000
3,2.5,2720,2610,2,0,0,3,2720,0,2002,0,3430000
3,2.5,3040,1950,2,0,0,3,3040,0,2003,0,3430000
4,2.5,2490,4040,2,0,0,3,2490,0,2001,0,3423000
5,3,3270,4785,2,0,0,3,3270,0,2002,0,3395000
3,2.5,2240,3450,2,0,0,3,2240,0,2003,0,3395000
3,2.25,2120,3640,2,0,0,3,2120,0,2002,0,3395000
5,3.25,3850,3500,2,0,2,3,3030,820,2002,0,3360000
5,2.75,1540,4960,1,0,0,3,1140,400,1990,0,3360000
3,2.5,3110,4120,1,0,2,3,1560,1550,1967,0,3360000
3,1,1092,4750,1.5,0,0,3,1092,0,1918,0,3360000
3,1.75,1440,3720,1,0,0,4,1050,390,1979,0,3360000
2,1,880,3750,1,0,0,4,880,0,1916,0,3360000
3,2.25,1640,3100,1,0,0,3,1240,400,1977,0,3360000
3,1.75,1300,3185,1,0,0,4,650,650,1918,1953,3360000
2,1,720,2700,1,0,0,3,720,0,1918,0,3353000
3,1.75,1630,2145,1,0,0,3,1100,530,1968,0,3332000
4,1,1430,4040,1,0,0,3,980,450,1947,0,3325000
2,1,1010,4775,1,0,0,3,890,120,1924,0,3325000
3,1.75,1830,2500,2,0,0,3,1490,340,1947,0,3290000
2,1,1129,3180,1,0,0,3,1129,0,1953,0,3290000
4,2.5,2350,6060,2.5,0,0,3,2350,0,1999,0,3290000
3,2,1520,3480,1,0,0,5,800,720,1943,0,3290000
4,1,1200,3792,1.5,0,0,3,1200,0,1923,0,3290000
4,2,1730,4040,1,0,0,5,1010,720,1943,0,3290000
3,1.75,1460,2145,1,0,2,3,1010,450,1979,0,3290000
6,4,3120,5880,2,0,2,4,2090,1030,1993,0,3290000
